Size,Ntrial,AvgTestAcc,AvgTrainAcc,AvgConfMatrix,Config
0.3,0,0.5153153153153153,0.6,[[ 0.2 53.8] [ 0.  57. ]],logistic_adam_adaptive_(50,)
0.3,0,0.5135135135135135,0.5957446808510638,[[ 0. 54.] [ 0. 57.]],logistic_adam_adaptive_(50, 50)
0.3,0,0.5135135135135135,0.5957446808510638,[[ 0. 54.] [ 0. 57.]],logistic_adam_adaptive_(100,)
0.3,0,0.5405405405405406,0.6340425531914894,[[10.4 43.6] [ 7.4 49.6]],tanh_lbfgs_constant_(50,)
0.3,0,0.5045045045045045,0.6425531914893617,[[ 5.2 48.8] [ 6.2 50.8]],tanh_lbfgs_constant_(50, 50)
0.3,0,0.5513513513513514,0.6553191489361702,[[ 9.6 44.4] [ 5.4 51.6]],tanh_lbfgs_constant_(100,)
0.3,0,0.5405405405405406,0.6340425531914894,[[10.4 43.6] [ 7.4 49.6]],tanh_lbfgs_invscaling_(50,)
0.3,0,0.5045045045045045,0.6425531914893617,[[ 5.2 48.8] [ 6.2 50.8]],tanh_lbfgs_invscaling_(50, 50)
0.3,0,0.5513513513513514,0.6553191489361702,[[ 9.6 44.4] [ 5.4 51.6]],tanh_lbfgs_invscaling_(100,)
0.3,0,0.5405405405405406,0.6340425531914894,[[10.4 43.6] [ 7.4 49.6]],tanh_lbfgs_adaptive_(50,)
0.3,0,0.5045045045045045,0.6425531914893617,[[ 5.2 48.8] [ 6.2 50.8]],tanh_lbfgs_adaptive_(50, 50)
0.3,0,0.5513513513513514,0.6553191489361702,[[ 9.6 44.4] [ 5.4 51.6]],tanh_lbfgs_adaptive_(100,)
0.3,0,0.5099099099099099,0.5957446808510638,[[ 0.6 53.4] [ 1.  56. ]],tanh_sgd_constant_(50,)
0.3,0,0.5099099099099099,0.5957446808510638,[[ 0.  54. ] [ 0.4 56.6]],tanh_sgd_constant_(50, 50)
0.3,0,0.45225225225225224,0.5319148936170213,[[ 2.  52. ] [ 8.8 48.2]],tanh_sgd_constant_(100,)
0.3,0,0.4990990990990991,0.502127659574468,[[28.4 25.6] [30.  27. ]],tanh_sgd_invscaling_(50,)
0.3,0,0.518918918918919,0.5914893617021276,[[ 2.4 51.6] [ 1.8 55.2]],tanh_sgd_invscaling_(50, 50)
0.3,0,0.5459459459459459,0.574468085106383,[[10.6 43.4] [ 7.  50. ]],tanh_sgd_invscaling_(100,)
0.3,0,0.5099099099099099,0.5957446808510638,[[ 0.6 53.4] [ 1.  56. ]],tanh_sgd_adaptive_(50,)
0.3,0,0.5099099099099099,0.5957446808510638,[[ 0.  54. ] [ 0.4 56.6]],tanh_sgd_adaptive_(50, 50)
0.3,0,0.4990990990990991,0.5659574468085107,[[ 2.  52. ] [ 3.6 53.4]],tanh_sgd_adaptive_(100,)
0.3,0,0.5513513513513513,0.6,[[ 5.6 48.4] [ 1.4 55.6]],tanh_adam_constant_(50,)
0.3,0,0.5567567567567567,0.6170212765957447,[[11.  43. ] [ 6.2 50.8]],tanh_adam_constant_(50, 50)
0.3,0,0.47927927927927927,0.5659574468085107,[[ 4.8 49.2] [ 8.6 48.4]],tanh_adam_constant_(100,)
0.3,0,0.5513513513513513,0.6,[[ 5.6 48.4] [ 1.4 55.6]],tanh_adam_invscaling_(50,)
0.3,0,0.5567567567567567,0.6170212765957447,[[11.  43. ] [ 6.2 50.8]],tanh_adam_invscaling_(50, 50)
0.3,0,0.47927927927927927,0.5659574468085107,[[ 4.8 49.2] [ 8.6 48.4]],tanh_adam_invscaling_(100,)
0.3,0,0.5513513513513513,0.6,[[ 5.6 48.4] [ 1.4 55.6]],tanh_adam_adaptive_(50,)
0.3,0,0.5567567567567567,0.6170212765957447,[[11.  43. ] [ 6.2 50.8]],tanh_adam_adaptive_(50, 50)
0.3,0,0.47927927927927927,0.5659574468085107,[[ 4.8 49.2] [ 8.6 48.4]],tanh_adam_adaptive_(100,)
0.3,0,0.5513513513513514,0.502127659574468,[[26.8 27.2] [22.6 34.4]],relu_lbfgs_constant_(50,)
0.3,0,0.5153153153153153,0.4851063829787234,[[42.8 11.2] [42.6 14.4]],relu_lbfgs_constant_(50, 50)
0.3,0,0.6036036036036037,0.5404255319148936,[[43.2 10.8] [33.2 23.8]],relu_lbfgs_constant_(100,)
0.3,0,0.5513513513513514,0.502127659574468,[[26.8 27.2] [22.6 34.4]],relu_lbfgs_invscaling_(50,)
