Size,Ntrial,AvgTestAcc,AvgTrainAcc,AvgConfMatrix,Config
0.3,0,0.5091891891891892,0.5822784810126582,[[ 0.2 90.8] [ 0.  94. ]],logistic_adam_adaptive_(50,)
0.3,0,0.5091891891891892,0.5822784810126582,[[ 0.2 90.8] [ 0.  94. ]],logistic_adam_adaptive_(50, 50)
0.3,0,0.5275675675675676,0.610126582278481,[[ 5.  86. ] [ 1.4 92.6]],logistic_adam_adaptive_(100,)
0.3,0,0.5697297297297298,0.610126582278481,[[27.2 63.8] [15.8 78.2]],tanh_lbfgs_constant_(50,)
0.3,0,0.5578378378378378,0.6278481012658228,[[18.4 72.6] [ 9.2 84.8]],tanh_lbfgs_constant_(50, 50)
0.3,0,0.5924324324324325,0.6835443037974683,[[33.6 57.4] [18.  76. ]],tanh_lbfgs_constant_(100,)
0.3,0,0.5697297297297298,0.610126582278481,[[27.2 63.8] [15.8 78.2]],tanh_lbfgs_invscaling_(50,)
0.3,0,0.5578378378378378,0.6278481012658228,[[18.4 72.6] [ 9.2 84.8]],tanh_lbfgs_invscaling_(50, 50)
0.3,0,0.5924324324324325,0.6835443037974683,[[33.6 57.4] [18.  76. ]],tanh_lbfgs_invscaling_(100,)
0.3,0,0.5697297297297298,0.610126582278481,[[27.2 63.8] [15.8 78.2]],tanh_lbfgs_adaptive_(50,)
0.3,0,0.5578378378378378,0.6278481012658228,[[18.4 72.6] [ 9.2 84.8]],tanh_lbfgs_adaptive_(50, 50)
0.3,0,0.5924324324324325,0.6835443037974683,[[33.6 57.4] [18.  76. ]],tanh_lbfgs_adaptive_(100,)
0.3,0,0.5297297297297298,0.5645569620253165,[[16.6 74.4] [12.6 81.4]],tanh_sgd_constant_(50,)
0.3,0,0.49945945945945946,0.5746835443037974,[[ 0.2 90.8] [ 1.8 92.2]],tanh_sgd_constant_(50, 50)
0.3,0,0.48864864864864865,0.5594936708860759,[[ 0.2 90.8] [ 3.8 90.2]],tanh_sgd_constant_(100,)
0.3,0,0.5362162162162163,0.5240506329113924,[[52.8 38.2] [47.6 46.4]],tanh_sgd_invscaling_(50,)
0.3,0,0.5048648648648649,0.549367088607595,[[18.2 72.8] [18.8 75.2]],tanh_sgd_invscaling_(50, 50)
0.3,0,0.5048648648648649,0.5113924050632912,[[34.6 56.4] [35.2 58.8]],tanh_sgd_invscaling_(100,)
0.3,0,0.49945945945945946,0.5746835443037974,[[ 0.2 90.8] [ 1.8 92.2]],tanh_sgd_adaptive_(50,)
0.3,0,0.4972972972972973,0.5670886075949367,[[ 0. 91.] [ 2. 92.]],tanh_sgd_adaptive_(50, 50)
0.3,0,0.4691891891891892,0.5367088607594936,[[ 3.6 87.4] [10.8 83.2]],tanh_sgd_adaptive_(100,)
0.3,0,0.5124324324324324,0.589873417721519,[[ 2.  89. ] [ 1.2 92.8]],tanh_adam_constant_(50,)
0.3,0,0.5491891891891892,0.579746835443038,[[25.4 65.6] [17.8 76.2]],tanh_adam_constant_(50, 50)
0.3,0,0.49945945945945946,0.5772151898734177,[[ 9.  82. ] [10.6 83.4]],tanh_adam_constant_(100,)
0.3,0,0.5124324324324324,0.589873417721519,[[ 2.  89. ] [ 1.2 92.8]],tanh_adam_invscaling_(50,)
0.3,0,0.5491891891891892,0.579746835443038,[[25.4 65.6] [17.8 76.2]],tanh_adam_invscaling_(50, 50)
0.3,0,0.49945945945945946,0.5772151898734177,[[ 9.  82. ] [10.6 83.4]],tanh_adam_invscaling_(100,)
0.3,0,0.5124324324324324,0.589873417721519,[[ 2.  89. ] [ 1.2 92.8]],tanh_adam_adaptive_(50,)
0.3,0,0.5491891891891892,0.579746835443038,[[25.4 65.6] [17.8 76.2]],tanh_adam_adaptive_(50, 50)
0.3,0,0.49945945945945946,0.5772151898734177,[[ 9.  82. ] [10.6 83.4]],tanh_adam_adaptive_(100,)
0.3,0,0.5740540540540541,0.5620253164556962,[[47.2 43.8] [35.  59. ]],relu_lbfgs_constant_(50,)
0.3,0,0.5664864864864865,0.5265822784810127,[[79.8 11.2] [69.  25. ]],relu_lbfgs_constant_(50, 50)
0.3,0,0.5524324324324325,0.5544303797468354,[[60.  31. ] [51.8 42.2]],relu_lbfgs_constant_(100,)
0.3,0,0.5740540540540541,0.5620253164556962,[[47.2 43.8] [35.  59. ]],relu_lbfgs_invscaling_(50,)
0.3,0,0.5664864864864865,0.5265822784810127,[[79.8 11.2] [69.  25. ]],relu_lbfgs_invscaling_(50, 50)
0.3,0,0.5524324324324325,0.5544303797468354,[[60.  31. ] [51.8 42.2]],relu_lbfgs_invscaling_(100,)
0.3,0,0.5740540540540541,0.5620253164556962,[[47.2 43.8] [35.  59. ]],relu_lbfgs_adaptive_(50,)
0.3,0,0.5664864864864865,0.5265822784810127,[[79.8 11.2] [69.  25. ]],relu_lbfgs_adaptive_(50, 50)
0.3,0,0.5524324324324325,0.5544303797468354,[[60.  31. ] [51.8 42.2]],relu_lbfgs_adaptive_(100,)
0.3,0,0.5005405405405405,0.549367088607595,[[18.2 72.8] [19.6 74.4]],relu_sgd_constant_(50,)
0.3,0,0.5016216216216216,0.4835443037974684,[[54.8 36.2] [56.  38. ]],relu_sgd_constant_(50, 50)
0.3,0,0.5027027027027027,0.549367088607595,[[18.4 72.6] [19.4 74.6]],relu_sgd_constant_(100,)
0.3,0,0.5037837837837839,0.5620253164556962,[[18.2 72.8] [19.  75. ]],relu_sgd_invscaling_(50,)
0.3,0,0.5048648648648649,0.549367088607595,[[18.4 72.6] [19.  75. ]],relu_sgd_invscaling_(50, 50)
0.3,0,0.5027027027027027,0.5518987341772152,[[18.4 72.6] [19.4 74.6]],relu_sgd_invscaling_(100,)
0.3,0,0.5005405405405405,0.549367088607595,[[18.2 72.8] [19.6 74.4]],relu_sgd_adaptive_(50,)
0.3,0,0.5037837837837837,0.549367088607595,[[18.6 72.4] [19.4 74.6]],relu_sgd_adaptive_(50, 50)
0.3,0,0.5027027027027027,0.549367088607595,[[18.4 72.6] [19.4 74.6]],relu_sgd_adaptive_(100,)
0.3,0,0.6389189189189189,0.620253164556962,[[64.  27. ] [39.8 54.2]],relu_adam_constant_(50,)
0.3,0,0.5297297297297298,0.5848101265822785,[[26.8 64.2] [22.8 71.2]],relu_adam_constant_(50, 50)
0.3,0,0.6194594594594595,0.5974683544303797,[[59.  32. ] [38.4 55.6]],relu_adam_constant_(100,)
0.3,0,0.6389189189189189,0.620253164556962,[[64.  27. ] [39.8 54.2]],relu_adam_invscaling_(50,)
0.3,0,0.5297297297297298,0.5848101265822785,[[26.8 64.2] [22.8 71.2]],relu_adam_invscaling_(50, 50)
0.3,0,0.6194594594594595,0.5974683544303797,[[59.  32. ] [38.4 55.6]],relu_adam_invscaling_(100,)
0.3,0,0.6389189189189189,0.620253164556962,[[64.  27. ] [39.8 54.2]],relu_adam_adaptive_(50,)
0.3,0,0.5297297297297298,0.5848101265822785,[[26.8 64.2] [22.8 71.2]],relu_adam_adaptive_(50, 50)
0.3,0,0.6194594594594595,0.5974683544303797,[[59.  32. ] [38.4 55.6]],relu_adam_adaptive_(100,)
0.3,1,0.6421621621621622,0.660759493670886,[[56.6 28.4] [37.8 62.2]],identity_lbfgs_constant_(50,)
0.3,1,0.6821621621621622,0.739240506329114,[[63.2 21.8] [37.  63. ]],identity_lbfgs_constant_(50, 50)
0.3,1,0.6594594594594595,0.7139240506329114,[[70.2 14.8] [48.2 51.8]],identity_lbfgs_constant_(100,)
0.3,1,0.6421621621621622,0.660759493670886,[[56.6 28.4] [37.8 62.2]],identity_lbfgs_invscaling_(50,)
0.3,1,0.6821621621621622,0.739240506329114,[[63.2 21.8] [37.  63. ]],identity_lbfgs_invscaling_(50, 50)
0.3,1,0.6594594594594595,0.7139240506329114,[[70.2 14.8] [48.2 51.8]],identity_lbfgs_invscaling_(100,)
