Size,Ntrial,TestAcc,TrainAcc,ConfMatrix,Config
0.3,2,0.5765765765765766,0.6382978723404256,[[17 35] [12 47]],21_1
0.3,2,0.5945945945945946,0.574468085106383,[[ 9 43] [ 2 57]],21_2
0.3,2,0.5945945945945946,0.5319148936170213,[[ 9 43] [ 2 57]],21_3
0.3,2,0.5765765765765766,0.5319148936170213,[[ 8 44] [ 3 56]],21_4
0.3,2,0.5675675675675675,0.5319148936170213,[[ 7 45] [ 3 56]],21_5
0.3,2,0.6306306306306306,0.574468085106383,[[22 30] [11 48]],26_1
0.3,2,0.6126126126126126,0.5319148936170213,[[12 40] [ 3 56]],26_2
0.3,2,0.5585585585585585,0.5531914893617021,[[ 7 45] [ 4 55]],26_3
0.3,2,0.5585585585585585,0.5531914893617021,[[ 5 47] [ 2 57]],26_4
0.3,2,0.5585585585585585,0.5531914893617021,[[ 4 48] [ 1 58]],26_5
0.3,3,0.6576576576576577,1.0,[[35 16] [22 38]],1_1
0.3,3,0.6486486486486487,1.0,[[34 17] [22 38]],1_2
0.3,3,0.6396396396396397,1.0,[[34 17] [23 37]],1_3
0.3,3,0.6216216216216216,1.0,[[36 15] [27 33]],1_4
0.3,3,0.6126126126126126,1.0,[[36 15] [28 32]],1_5
0.3,3,0.5675675675675675,0.7446808510638298,[[42  9] [39 21]],6_1
0.3,3,0.5315315315315315,0.7659574468085106,[[41 10] [42 18]],6_2
0.3,3,0.5315315315315315,0.7021276595744681,[[39 12] [40 20]],6_3
0.3,3,0.5405405405405406,0.723404255319149,[[38 13] [38 22]],6_4
0.3,3,0.5405405405405406,0.723404255319149,[[38 13] [38 22]],6_5
0.3,3,0.5855855855855856,0.6170212765957447,[[40 11] [35 25]],11_1
0.3,3,0.5945945945945946,0.6808510638297872,[[43  8] [37 23]],11_2
0.3,3,0.5945945945945946,0.6595744680851063,[[43  8] [37 23]],11_3
0.3,3,0.5945945945945946,0.6170212765957447,[[43  8] [37 23]],11_4
0.3,3,0.5855855855855856,0.574468085106383,[[43  8] [38 22]],11_5
0.3,3,0.6036036036036037,0.6382978723404256,[[49  2] [42 18]],16_1
0.3,3,0.5855855855855856,0.6170212765957447,[[50  1] [45 15]],16_2
0.3,3,0.5405405405405406,0.574468085106383,[[49  2] [49 11]],16_3
0.3,3,0.5495495495495496,0.574468085106383,[[50  1] [49 11]],16_4
0.3,3,0.5405405405405406,0.574468085106383,[[50  1] [50 10]],16_5
0.3,3,0.5855855855855856,0.5957446808510638,[[48  3] [43 17]],21_1
0.3,3,0.5585585585585585,0.6382978723404256,[[40 11] [38 22]],21_2
0.3,3,0.5495495495495496,0.6170212765957447,[[38 13] [37 23]],21_3
0.3,3,0.5315315315315315,0.574468085106383,[[37 14] [38 22]],21_4
